"주요품목별(1)",2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12,2022. 01,2022. 02,2022. 03,2022. 04,2022. 05,2022. 06,2022. 07,2022. 08,2022. 09,2022. 10,2022. 11,2022. 12,2023. 01,2023. 02,2023. 03
"세탁세제",100.25,101.15,95.55,100.38,99.42,98.34,100.79,102.03,101.40,99.15,98.83,100.50,98.09,98.47,98.28,97.52,99.59,98.46,99.27,99.95,102.91,103.36,101.18,103.21,101.59,99.01,108.38,111.19,109.72,116.27,118.40,118.56,116.31,120.33,117.96,118.74,120.75,120.71
"외래진료비",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,106.11,106.11,106.11
"치과진료비",100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,99.63,99.63,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,106.01,106.01,106.01
"감기약",99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.58,100.58,100.58,100.58,100.58,100.58,101.24,102.50,102.30,102.30,102.30,102.30,103.17,105.46,110.94,113.47,116.32,117.55,117.69
"휘발유",110.49,106.89,98.20,91.35,95.42,98.54,98.81,98.41,96.98,95.55,97.73,102.88,104.58,108.11,109.60,110.01,112.45,115.78,117.41,117.14,120.19,124.33,116.12,115.44,120.53,135.32,138.45,137.02,145.16,142.99,126.84,122.63,118.09,116.86,112.93,112.11,112.52,113.27
"시내버스료",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"도시철도료",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"휴대전화료",102.37,102.30,102.22,102.15,102.06,101.93,101.83,101.72,80.58,99.43,100.96,101.06,101.14,101.24,101.25,101.25,101.24,101.23,101.25,101.24,101.25,101.27,101.29,101.30,101.31,101.30,101.64,101.65,101.68,101.72,101.74,101.76,101.78,101.78,101.79,101.79,101.80,101.75
"영화관람료",97.51,97.51,97.51,97.51,97.51,97.51,97.51,97.51,104.49,106.77,111.13,111.13,111.13,111.13,114.83,114.83,114.83,119.97,119.97,119.97,119.97,119.97,119.97,119.97,119.97,119.97,123.67,123.67,123.67,128.81,128.81,128.81,128.81,128.81,128.81,128.81,128.81,128.81
"삼겹살(외식)",100.22,100.22,100.22,99.65,99.65,99.65,99.65,100.14,100.14,100.14,100.14,100.14,100.14,100.14,100.14,100.14,100.71,101.83,101.83,103.04,103.59,105.83,105.83,106.43,107.37,107.37,107.94,110.27,111.44,112.95,112.95,115.23,115.23,115.80,116.42,116.42,117.66,117.66
"설렁탕",99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,99.70,101.52,101.52,101.52,102.44,102.44,102.44,102.44,102.44,103.37,103.37,104.82,105.68,105.68,108.05,108.84,111.08,112.09,112.09,112.09,113.11,113.87,113.87,115.42,116.13,116.85,116.85,116.85,119.14,119.14
"미용료",100.88,100.88,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.93,99.93,99.93,99.93,99.93,99.79,99.79,99.79,99.79,99.79,99.47,99.47,99.47,99.47,99.97,102.99,103.83,104.13,104.50,104.50,106.02,106.02,106.27,106.27,107.40,111.30,111.30,112.04,112.04
"목욕료",99.30,99.30,99.30,100.20,100.20,100.20,100.20,100.20,100.20,100.20,101.40,101.40,101.40,101.40,102.24,102.24,102.24,102.24,102.24,102.24,103.29,102.24,102.24,105.37,107.43,107.43,107.43,108.71,108.71,109.51,110.65,110.65,111.54,112.56,112.56,114.62,116.74,122.46
