"계정항목별","금융기관 유형코드별",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02
"전체 이용금액 (백만원)","합계",67154607,59686650,58844315,60385644,65011734,64039367,66802467,64447280,66934921,66713031,66272495,65713035,64652428,61415123,69188212,70289565,72183940,70107896,71830819,69232090,71235370,73520115,74438865,75912264,75016955,65605580,75417792,78493191,84787819,79395263,82207664,81112499,82343480,83378034,80536440,84793096,80255412,75947115
"전체 이용금액 (백만원)","은행계",42674262,36930450,36751362,37976954,40557332,39319491,42004252,40062493,41695450,41613793,40862832,40342399,40142631,38125963,42745956,43187034,44660308,42987992,44267003,42044810,44054658,44924924,45378129,46415993,45983679,39409176,46067410,47638855,50329676,47945812,49926556,48684844,49886716,50001634,49024756,51765138,48447519,45198690
"전체 이용금액 (백만원)","비은행계",24480345,22756200,22092953,22408690,24454401,24719875,24798215,24384787,25239471,25099238,25409663,25370636,24509797,23289159,26442256,27102531,27523632,27119904,27563817,27187280,27180712,28595191,29060736,29496271,29033276,26196403,29350382,30854336,34458142,31449451,32281108,32427655,32456764,33376400,31511685,33027957,31807894,30748425
"개인 이용금액 (백만원)","합계",54217410,47456178,47842988,48165421,52246516,51676859,53124206,51785217,52354938,52743573,53067009,52263133,51535254,48859811,55834038,54597103,57027422,55772286,58167270,55891307,56344221,59283146,59905360,60019003,60408050,52455537,60139305,61066188,64933419,62871749,65806421,65000559,63882023,66388297,65224427,66883892,65249137,61364252
"개인 이용금액 (백만원)","은행계",33327375,29330703,29375367,29577082,31890291,31207858,32151590,31348820,31630833,31841260,31756572,31213984,30801359,29202025,33420142,32538682,33979913,33329036,34710278,33171834,33621849,34978634,35200260,35130304,35436668,30691137,35394629,35853030,37768177,36780090,38617081,37856347,37277444,38416000,38319637,39060772,37827385,35580145
"개인 이용금액 (백만원)","비은행계",20890035,18125475,18467621,18588339,20356226,20469001,20972616,20436397,20724105,20902314,21310438,21049148,20733895,19657787,22413895,22058421,23047509,22443251,23456992,22719473,22722372,24304512,24705100,24888699,24971382,21764401,24744676,25213157,27165243,26091659,27189340,27144212,26604579,27972297,26904790,27823120,27421752,25784107
"개인 일반구매 이용금액 (백만원)","합계",38427186,33470170,33537215,34256743,37940563,37286494,37623749,37098223,37172476,37254433,37757608,36942093,36422995,34798177,39786986,39252266,41103952,40227185,41342730,40165034,40603678,42468702,43035867,42836827,42796382,37679324,43128339,44383717,47523800,45899455,47711654,47700792,46248330,47820124,47497499,48896098,47712025,45244797
"개인 일반구매 이용금액 (백만원)","은행계",23941739,20943289,20878043,21383681,23536046,22935762,23150459,22884542,22838479,22874197,23043761,22438988,22250644,21250411,24271780,23849235,25004471,24487739,25117943,24269864,24554139,25408241,25681631,25383057,25557658,22429160,25773996,26490028,28124496,27331522,28406351,28226461,27323759,28064113,28224052,28540066,27948745,26436111
"개인 일반구매 이용금액 (백만원)","비은행계",14485447,12526881,12659172,12873062,14404517,14350733,14473290,14213681,14333997,14380236,14713847,14503105,14172352,13547766,15515206,15403031,16099480,15739446,16224787,15895170,16049540,17060461,17354236,17453770,17238725,15250165,17354343,17893689,19399304,18567934,19305303,19474330,18924571,19756011,19273447,20356032,19763280,18808686
"개인 할부구매 이용금액 (백만원)","합계",10992495,9163416,9299170,9545731,9813374,9963721,11059844,10200371,10828941,10973437,10891032,10872054,10713230,10046772,11091618,10752287,11115635,10983657,12262391,10988776,11190693,12111370,12068374,12340806,12813688,10423975,12042707,12073478,12509073,12223319,13363974,12379037,12715849,13595914,12778240,13042335,12904639,11645579
"개인 할부구매 이용금액 (백만원)","은행계",6224595,5236116,5220296,5348549,5419646,5382636,6102044,5560255,5975573,6052079,5882435,5941850,5782866,5446728,6020826,5824032,5962852,5941271,6651608,5872545,6083253,6508797,6397179,6593041,6786756,5452476,6372575,6384519,6501601,6411873,7216366,6474671,6781132,7129432,6852446,7280005,6825217,6208656
"개인 할부구매 이용금액 (백만원)","비은행계",4767900,3927300,4078874,4197182,4393728,4581085,4957799,4640116,4853368,4921358,5008597,4930203,4930365,4600043,5070793,4928255,5152783,5042386,5610783,5116231,5107440,5602573,5671195,5747765,6026932,4971499,5670132,5688960,6007471,5811446,6147608,5904367,5934717,6466482,5925795,5762330,6079422,5436922
"개인 현금서비스 이용금액 (백만원)","합계",4797728,4822593,5006602,4362947,4492580,4426644,4440614,4486623,4353521,4515702,4418369,4448985,4399028,4014863,4955433,4592550,4807836,4561445,4562149,4737496,4549850,4703074,4801119,4841369,4797980,4352238,4968259,4608992,4900547,4748975,4730793,4920730,4917844,4972259,4948688,4945460,4632473,4473876
"개인 현금서비스 이용금액 (백만원)","은행계",3161041,3151298,3277027,2844851,2934599,2889460,2899086,2904022,2816781,2914983,2830375,2833146,2767849,2504885,3127536,2865415,3012590,2900026,2940727,3029425,2984458,3061596,3121451,3154206,3092254,2809501,3248059,2978484,3142079,3036695,2994364,3155215,3172554,3222455,3243139,3240701,3053424,2935377
"개인 현금서비스 이용금액 (백만원)","비은행계",1636688,1671295,1729575,1518096,1557981,1537184,1541528,1582600,1536740,1600719,1587993,1615840,1631178,1509977,1827897,1727135,1795246,1661418,1621422,1708072,1565393,1641477,1679668,1687163,1705725,1542737,1720201,1630508,1758467,1712280,1736429,1765515,1745290,1749804,1705549,1704759,1579050,1538498
"법인 이용금액 (백만원)","합계",12937197,12230472,11001327,12220223,12765217,12362507,13678261,12662064,14579983,13969458,13205486,13449903,13117174,12555311,13354175,15692462,15156518,14335610,13663549,13340783,14891148,14236969,14533505,15893261,14608905,13150042,15278487,17427003,19854399,16523514,16401242,16111940,18461457,16989737,15312013,17909204,15006275,14582863
"법인 이용금액 (백만원)","은행계",9346887,7599747,7375995,8399873,8667041,8111633,9852662,8713673,10064617,9772534,9106261,9128415,9341272,8923939,9325814,10648352,10680394,9658956,9556725,8872976,10432808,9946290,10177869,11285689,10547011,8718039,10672780,11785825,12561500,11165723,11309475,10828497,12609271,11585634,10705118,12704367,10620133,9618545
"법인 이용금액 (백만원)","비은행계",3590310,4630725,3625332,3820350,4098176,4250874,3825598,3948390,4515366,4196924,4099225,4321488,3775902,3631373,4028361,5044110,4476123,4676654,4106825,4467807,4458340,4290680,4355636,4607572,4061894,4432003,4605706,5641179,7292900,5357792,5091768,5283443,5852185,5404102,4606895,5204837,4386142,4964318
"전체 신용카드 발급장수 (천장)","합계",111133,111245,111424,111809,112220,112527,112718,113003,113225,113421,113693,113729,113955,114154,114557,114800,115151,115457,115709,116019,116229,116576,117162,117689,118152,118619,119076,119625,120228,120840,121472,122151,122714,123280,123815,124172,124648,125237
"전체 신용카드 발급장수 (천장)","은행계",71687,71760,71848,72069,72309,72475,72554,72652,72752,72791,72876,72790,72790,72881,73129,73203,73329,73470,73506,73607,73659,73804,74112,74387,74568,74781,75015,75299,75608,75950,76295,76663,76980,77267,77532,77631,77871,78176
"전체 신용카드 발급장수 (천장)","비은행계",39446,39485,39576,39740,39912,40053,40164,40351,40473,40630,40817,40939,41165,41273,41428,41597,41821,41987,42204,42412,42570,42773,43050,43302,43584,43838,44061,44325,44620,44890,45177,45488,45734,46013,46283,46541,46777,47061
"개인 신용카드 발급장수 (천장)","합계",101739,101822,101944,102212,102554,102824,102963,103213,103392,103566,103833,103866,104093,104279,104641,104843,105147,105393,105621,105897,106081,106394,106944,107416,107870,108300,108713,109193,109732,110270,110835,111451,111960,112471,112966,113297,113759,114304
"개인 신용카드 발급장수 (천장)","은행계",63409,63463,63502,63614,63777,63907,63938,64007,64079,64097,64169,64090,64098,64180,64397,64440,64529,64625,64642,64715,64753,64870,65145,65379,65565,65754,65953,66190,66449,66739,67037,67355,67628,67871,68101,68184,68420,68695
"개인 신용카드 발급장수 (천장)","비은행계",38330,38360,38443,38598,38777,38917,39024,39206,39313,39469,39664,39776,39995,40099,40244,40403,40618,40768,40979,41182,41327,41524,41798,42037,42305,42546,42759,43003,43283,43531,43799,44095,44332,44600,44866,45113,45339,45609
"법인 신용카드 발급장수 (천장)","합계",9394,9422,9480,9597,9666,9703,9755,9790,9833,9854,9860,9863,9863,9875,9916,9957,10004,10065,10089,10123,10148,10182,10218,10274,10282,10318,10363,10432,10496,10570,10637,10701,10754,10809,10849,10875,10889,10933
"법인 신용카드 발급장수 (천장)","은행계",8278,8297,8347,8455,8531,8568,8616,8645,8672,8694,8706,8700,8693,8702,8732,8764,8800,8845,8864,8892,8905,8933,8966,9008,9002,9027,9061,9109,9159,9211,9259,9308,9352,9396,9431,9447,9451,9481
"법인 신용카드 발급장수 (천장)","비은행계",1116,1125,1133,1142,1135,1135,1140,1146,1161,1161,1153,1163,1170,1173,1185,1194,1204,1219,1225,1230,1243,1249,1251,1265,1279,1292,1302,1322,1337,1359,1378,1392,1403,1413,1417,1428,1438,1452
